clin values
8.108108108108080803e-03  4.196634910806021246e+00
8.708708708708712276e-03  4.183924506258152931e+00
9.309309309309288238e-03  4.171153143801086927e+00
9.909909909909919712e-03  4.158321617586860697e+00
1.051051051051049567e-02  4.145430723630755487e+00
1.111111111111112715e-02  4.132481259729761547e+00
1.171171171171170311e-02  4.119474025381085980e+00
1.231231231231233458e-02  4.106409821700711227e+00
1.291291291291291055e-02  4.093289451342023710e+00
1.351351351351348651e-02  4.080113718414500212e+00
1.411411411411411798e-02  4.066883428402499945e+00
1.471471471471469394e-02  4.053599388084139221e+00
1.531531531531532542e-02  4.040262405450272709e+00
1.591591591591590138e-02  4.026873289623615015e+00
1.651651651651653285e-02  4.013432850777956418e+00
1.711711711711710882e-02  3.999941900057562449e+00
1.771771771771774029e-02  3.986401249496686727e+00
1.831831831831831625e-02  3.972811711939280066e+00
1.891891891891889221e-02  3.959174100958850140e+00
1.951951951951952369e-02  3.945489230778514766e+00
2.012012012012009965e-02  3.931757916191265245e+00
2.072072072072073112e-02  3.917980972480409552e+00
2.132132132132130709e-02  3.904159215340254452e+00
2.192192192192193856e-02  3.890293460797007885e+00
2.252252252252251452e-02  3.876384525129920711e+00
2.312312312312314599e-02  3.862433224792674924e+00
2.372372372372372196e-02  3.848440376335038771e+00
2.432432432432429792e-02  3.834406796324781208e+00
2.492492492492492939e-02  3.820333301269874138e+00
2.552552552552550535e-02  3.806220707540984627e+00
2.612612612612613683e-02  3.792069831294254900e+00
2.672672672672671279e-02  3.777881488394416731e+00
2.732732732732734426e-02  3.763656494338192271e+00
2.792792792792792023e-02  3.749395664178057253e+00
2.852852852852855170e-02  3.735099812446319500e+00
2.912912912912912766e-02  3.720769753079561148e+00
2.972972972972970362e-02  3.706406299343425470e+00
3.033033033033033510e-02  3.692010263757783406e+00
3.093093093093091106e-02  3.677582458022272238e+00
3.153153153153154253e-02  3.663123692942216181e+00
3.213213213213211850e-02  3.648634778354951091e+00
3.273273273273274997e-02  3.634116523056537762e+00
3.333333333333332593e-02  3.619569734728911303e+00
3.393393393393395741e-02  3.604995219867425771e+00
3.453453453453453337e-02  3.590393783708853537e+00
3.513513513513510933e-02  3.575766230159802550e+00
3.573573573573574080e-02  3.561113361725592341e+00
3.633633633633631677e-02  3.546435979439594544e+00
